Module Name;nc;c;ig
packageswebemb2010inclcommon;219;2;34
packageswebemb2010inclevents;210;11;34
packageswebemb2010inclschedules;220;1;34
packageswebemb2010inclscripts;221;0;34
packageswebemb2010inclservers;214;7;34
packageswebemb2010picsbasic;228;0;27
packageswebhelpplatoon8021x;220;1;34
packageswebhelpplatoonadptools;220;1;34
packageswebhelpplatoonaudio;220;1;34
packageswebhelpplatoonaudioDetection;220;1;34
packageswebhelpplatoonaudioclip;220;1;34
packageswebhelpplatoonbonjour;227;1;27
packageswebhelpplatooncertificates;227;1;27
packageswebhelpplatoondateTime;220;1;34
packageswebhelpplatoondiskManagement;217;4;34
packageswebhelpplatoonfocus;220;1;34
packageswebhelpplatoonhttps;220;1;34
packageswebhelpplatoonlanguage;216;5;34
packageswebhelpplatoonlayout;220;1;34
packageswebhelpplatoonled;220;1;34
packageswebhelpplatoonmaintenance;215;6;34
packageswebhelpplatoonmotionDetection;220;1;34
packageswebhelpplatoonnetwork;220;1;34
packageswebhelpplatoonpicsaudio;221;0;34
packageswebhelpplatoonpicscamera;221;0;34
packageswebhelpplatoonpicsliveviewfullscreen;221;0;34
packageswebhelpplatoonpicsliveviewjoystick;221;0;34
packageswebhelpplatoonpicsliveviewplay;228;0;27
packageswebhelpplatoonpicsliveviewrecording;221;0;34
packageswebhelpplatoonpicsliveviewsnapshot;221;0;34
packageswebhelpplatoonportsDevices;220;1;34
packageswebhelpplatoonprivacymask;220;1;34
packageswebhelpplatoonptz;216;5;34
packageswebhelpplatoonqos;216;5;34
packageswebhelpplatoonrecordingList;220;1;34
packageswebhelpplatoonrestrictIP;220;1;34
packageswebhelpplatoonrtp;220;1;34
packageswebhelpplatoonscripting;221;0;34
packageswebhelpplatoonsmtp;221;0;34
packageswebhelpplatoonsnmp;221;0;34
packageswebhelpplatoonsocks;221;0;34
packageswebhelpplatoonsupport;216;5;34
packageswebhelpplatoontampering;223;5;27
packageswebhelpplatoonupnp;220;1;34
packageswebhelpplatoonusers;220;1;34
packageswebhelpplatoonvideoImageadvancedhaiti;216;5;34
packageswebhelpplatoonvideoImageoverlay;227;1;27
packageswebhelpplatoonvideostream;217;4;34
packageswebhelpplatoonview;215;6;34
packageswebhelpplatoonviewptz;226;2;27
packageswebhelpplatoonvirtualSources;217;4;34
packageswebinclplatooncommon;213;8;34
packageswebinclplatoongethtmlform;237;0;18
packageswebinclplatoonparamArray;221;0;34
packageswebinclplatoontabs;221;0;34
packageswebinclplatoonptz;216;5;34
packagesweblocaldir;221;0;34
packageswebpicsplatoon;221;0;34
packageswebpicsplatoonptz;217;4;34
packageswebrootplatoon;235;2;18
packageswebserverfactory;221;0;34
packageswebsharedjs;2;1;252
packageswebstsadmin;219;2;34
packageswebstsroot;221;0;34
packageswebviewplatoon;216;5;34
packageswebviewplatoonptz;221;0;34
packageswebapplibsjquery;1;2;252
packageswebapplibsraphael;1;2;252
packageswebapplibsunderscore;1;2;252
packageswebapptoolsphantomjs;2;1;252
packageswebapptoolsqunit;2;1;252
packageswebapptoolssinonjs;2;1;252
packageszeroconfzeroconfipinitscripts;221;0;34
packageszoneinfocomptool;221;0;34
packageszoneinfotz2tzfileglibc;221;0;34
packageszoneinfozonefiles;221;0;34
tests8021x;227;1;27
testsaccesscontrol;212;9;34
testsacm;221;0;34
testsarpping;221;0;34
testsatfsupportacaptestframework;212;0;43
testsatfsupporttestacapinterfaces;220;1;34
testsatfsupporttestaxevent;218;1;36
testsatfsupporttestaxhttp;209;3;43
testsatfsupporttestaxstorage;22;0;233
testsatfsupporttestwsonvifservicesevent;0;0;255
testsatfacaputil;212;0;43
testsatfeventtestlivestream;186;1;68
testsatfeventtestperformance;46;2;207
testsatfeventtestvapixaction;45;1;209
testsatftestacapinterfaces;219;2;34
testsatftestacmcompliance;0;0;255
testsatftestatfinit;221;0;34
testsatftestaudio;221;0;34
testsatftestaxevent;218;1;36
testsatftestaxhttp;209;3;43
testsatftestaxstorage;21;1;233
testsatftestboottime;221;0;34
testsatftestconnectionlist;221;0;34
testsatftestiod;214;6;35
testsatftestlivestreamaccessedevent;33;1;221
testsatftestperformanceeventsactions;3;1;251
testsatftestsnmp;217;4;34
testsatfteststreamingrtsp;0;0;255
testsatftesttemperature;221;0;34
testsatftestupgrade;2;1;252
testsatftestvapixstorage;137;7;111
testsatftestws;221;0;34
testsatftestwsonvifservicesevent;0;0;255
testsatftestwsvapixactionservice;33;1;221
testsatfvirtualinput;217;4;34
testsbootblocktool;237;0;18
testscamera;218;3;34
testscertificatesmigration;221;0;34
testscoreloggercoreparser;221;0;34
testscoreloggercorewatcher;220;1;34
testsdigestauth;221;0;34
testsembappsdkaxevent;9;0;246
testsembappsdkmetadata;219;2;34
testsevent;217;4;34
testsevent2;218;3;34
testsftp;150;0;105
testshttpapilinkchecker;221;0;34
testshttpapiphatt;221;0;34
testshttpapiusers;237;0;18
testshttps;220;1;34
testsimage;221;0;34
testsiod;5;0;250
testskernelafalg;221;0;34
testslocalstorage;221;0;34
testsparhand;221;0;34
testsperformance;221;0;34
testsperftestssmem;221;0;34
testspolicykit;218;3;34
testspostmortem;221;0;34
testspthreadppperformance;221;0;34
testsptod;220;1;34
testsptzptzauruscore;209;12;34
testsqos;220;1;34
testsruleengine;221;0;34
testssdio;221;0;34
testssnmp;221;0;34
testsssh;221;0;34
testssyslog;217;4;34
teststelnet;221;0;34
testsvapixevent;220;1;34
testsvapixledcontrol;221;0;34
testsvapixmediaclip;216;5;34
testsvapixmotion;221;0;34
testsvapixrecording;216;5;34
testsvapixrtsp;221;0;34
testsvapixserverreport;221;0;34
testsvapixsyslog;221;0;34
testsvapixtriggerdata;0;0;255
testswsonvifdiscovery;215;6;34
testswsonvifmodules;216;5;34
testswsonvifsecuritymisc;217;4;34
testswsonvifservicesdevice;216;5;34
testswsonvifservicesmedia;225;3;27
testswsonvifservicesptz;214;7;34
testswsvapixsecurityhttpauth;221;0;34
testswsvapixservicesaction;139;2;114
testswsvapixservicescertificate;220;1;34
testswsvapixservicesevent;228;0;27
testswsvapixservicesweb;220;1;34
toolsaxisprofile;237;0;18
toolsaxisinternalscripts;221;0;34
toolsbenchmarkingvideoperformance;221;0;34
toolsbenchmarkingvideoperformanceinternal;221;0;34
toolsbuild;211;10;34
toolsdbus;225;3;27
toolsdbusglib;221;0;34
toolsdevutilsstabtestconfigurations;220;1;34
toolsdevutilsstabtestprogram;221;0;34
toolsembappsdkscripts;226;2;27
toolsfirmwarereleasetool;220;1;34
toolsglib;217;4;34
toolsiopasm;220;1;34
toolskmod;220;1;34
toolslangtools;223;5;27
toolslibffi;221;0;34
toolslicense;233;4;18
toolsmtdutils;228;0;27
toolsnetboot;212;9;34
toolsprodreport;221;0;34
toolsrtspclient;220;1;34
toolstestatfinit;208;13;34
toolstestcheck;221;0;34
toolstestcommon;207;14;34
toolstestfunction;221;0;34
toolstestperftest;221;0;34
toolstestphatt;217;4;34
toolstestshtap;221;0;34
